분류,사례수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,국민의당 안철수,그 외 다른 사람,없다,모름/무응답
"전체",(1000),33,34,4,5,1,15,8
18-29세,(175),19,27,7,10,1,25,11
30-39세,(151),29,24,7,8,1,22,10
40-49세,(185),47,21,4,3,3,12,9
50-59세,(194),41,36,2,3,1,12,5
60-69세,(163),29,49,2,2,1,9,7
70세 이상,(132),30,49,2,3,0,7,9
"서울",(189),31,33,4,7,1,17,7
"인천/경기",(314),35,32,5,5,2,12,10
"대전/세종/충청",(108),33,39,5,2,0,14,6
"광주/전라",(98),63,8,3,5,3,12,7
"대구/경북",(97),16,48,4,5,1,19,6
"부산/울산/경남",(152),23,42,4,5,1,17,8
"강원/제주",(42),35,32,2,2,2,13,13
